id_transaction,age,quantity,price,discount_percent,rating,total_price,id_date,id_cust,id_branch,id_city,id_menu,id_category,id_method
TRX0066,31,5,23000,0,3.8,115000,TGL0520,CNA0136,BRCH001,KOA0102,MENU005,KTG0206,PAY0709
TRX0492,32,4,27000,5,2.2,102600,TGL0521,CNA0137,BRCH005,KOA0106,MENU007,KTG0207,PAY0711
TRX0851,53,4,25000,20,2.9,80000,TGL0521,CNA0138,BRCH002,KOA0103,MENU001,KTG0205,PAY0712
TRX0788,51,4,18000,0,1.9,72000,TGL0521,CNA0139,BRCH003,KOA0104,MENU009,KTG0206,PAY0711
TRX0227,43,4,23000,0,2.2,92000,TGL0521,CNA0140,BRCH003,KOA0104,MENU005,KTG0206,PAY0710
TRX0652,30,5,20000,5,3.5,95000,TGL0522,CNA0126,BRCH005,KOA0106,MENU008,KTG0205,PAY0710
TRX0324,41,3,28000,20,1.2,67200,TGL0522,CNA0104,BRCH004,KOA0105,MENU004,KTG0207,PAY0712
TRX0911,49,5,28000,5,1.2,133000,TGL0522,CNA0143,BRCH002,KOA0103,MENU004,KTG0207,PAY0711
TRX0712,42,3,22000,15,1.2,56100,TGL0523,CNA0144,BRCH003,KOA0104,MENU003,KTG0205,PAY0709
TRX0607,19,5,18000,0,2,90000,TGL0523,CNA0145,BRCH005,KOA0106,MENU009,KTG0206,PAY0711
TRX0074,37,5,18000,15,2.9,76500,TGL0524,CNA0146,BRCH001,KOA0102,MENU010,KTG0205,PAY0711
TRX0640,23,5,28000,15,3,119000,TGL0525,CNA0147,BRCH005,KOA0106,MENU004,KTG0207,PAY0709
TRX0620,53,1,23000,20,2.1,18400,TGL0525,CNA0148,BRCH003,KOA0104,MENU005,KTG0206,PAY0710
TRX0359,33,1,22000,0,2.4,22000,TGL0526,CNA0149,BRCH005,KOA0106,MENU003,KTG0205,PAY0712
TRX0872,24,4,30000,10,3.5,108000,TGL0526,CNA0150,BRCH002,KOA0103,MENU002,KTG0206,PAY0712
TRX0941,20,4,20000,0,4.4,80000,TGL0527,CNA0151,BRCH004,KOA0105,MENU008,KTG0205,PAY0711
TRX0061,49,5,18000,5,4.2,85500,TGL0528,CNA0152,BRCH003,KOA0104,MENU009,KTG0206,PAY0710
TRX0663,20,5,18000,0,4.5,90000,TGL0529,CNA0153,BRCH001,KOA0102,MENU009,KTG0206,PAY0712
TRX0509,44,3,23000,20,2.8,55200,TGL0529,CNA0154,BRCH003,KOA0104,MENU005,KTG0206,PAY0710
TRX0264,18,5,23000,10,3.3,103500,TGL0530,CNA0155,BRCH002,KOA0103,MENU005,KTG0206,PAY0710
TRX0135,42,3,32000,0,3.5,96000,TGL0531,CNA0133,BRCH003,KOA0104,MENU006,KTG0206,PAY0709
TRX0096,29,4,18000,0,4.4,72000,TGL0532,CNA0157,BRCH004,KOA0105,MENU010,KTG0205,PAY0709
TRX0293,48,5,18000,0,1.2,90000,TGL0532,CNA0158,BRCH004,KOA0105,MENU010,KTG0205,PAY0712
TRX0020,17,5,18000,0,4.4,90000,TGL0532,CNA0159,BRCH004,KOA0105,MENU009,KTG0206,PAY0712
TRX0068,44,4,25000,0,3.3,100000,TGL0533,CNA0103,BRCH002,KOA0103,MENU001,KTG0205,PAY0709
TRX0642,23,4,18000,5,3.9,68400,TGL0534,CNA0147,BRCH004,KOA0105,MENU010,KTG0205,PAY0711
TRX0797,24,5,28000,0,2.9,140000,TGL0534,CNA0162,BRCH003,KOA0104,MENU004,KTG0207,PAY0712
TRX0331,32,5,18000,20,3.2,72000,TGL0534,CNA0137,BRCH001,KOA0102,MENU010,KTG0205,PAY0710
TRX0128,48,3,23000,0,1.4,69000,TGL0534,CNA0164,BRCH004,KOA0105,MENU005,KTG0206,PAY0711
TRX0383,18,4,25000,0,4.8,100000,TGL0534,CNA0165,BRCH004,KOA0105,MENU001,KTG0205,PAY0712
TRX0694,48,3,20000,20,2.3,48000,TGL0535,CNA0166,BRCH005,KOA0106,MENU008,KTG0205,PAY0710
TRX0450,38,3,32000,0,3.8,96000,TGL0536,CNA0167,BRCH003,KOA0104,MENU006,KTG0206,PAY0709
TRX0778,37,1,25000,0,3.7,25000,TGL0537,CNA0168,BRCH002,KOA0103,MENU001,KTG0205,PAY0709
TRX0334,53,2,22000,0,3.3,44000,TGL0537,CNA0169,BRCH005,KOA0106,MENU003,KTG0205,PAY0710
TRX0561,18,3,18000,0,2.1,54000,TGL0538,CNA0170,BRCH001,KOA0102,MENU010,KTG0205,PAY0709
TRX0255,43,3,20000,5,4.8,57000,TGL0538,CNA0171,BRCH001,KOA0102,MENU008,KTG0205,PAY0709
TRX0591,51,1,18000,0,2.7,18000,TGL0539,CNA0172,BRCH005,KOA0106,MENU009,KTG0206,PAY0711
TRX0092,35,1,27000,5,2.6,25650,TGL0539,CNA0173,BRCH001,KOA0102,MENU007,KTG0207,PAY0712
TRX0214,48,4,18000,0,1.7,72000,TGL0540,CNA0174,BRCH004,KOA0105,MENU009,KTG0206,PAY0711
TRX0597,48,4,32000,0,1.3,128000,TGL0540,CNA0175,BRCH005,KOA0106,MENU006,KTG0206,PAY0710
TRX0171,25,1,25000,10,2.4,22500,TGL0540,CNA0176,BRCH005,KOA0106,MENU001,KTG0205,PAY0712
TRX0422,38,1,23000,15,2,19550,TGL0540,CNA0177,BRCH002,KOA0103,MENU005,KTG0206,PAY0711
TRX0835,46,2,28000,20,2,44800,TGL0540,CNA0115,BRCH002,KOA0103,MENU004,KTG0207,PAY0710
TRX0604,24,5,30000,0,4.5,150000,TGL0541,CNA0150,BRCH002,KOA0103,MENU002,KTG0206,PAY0709
TRX0085,19,1,28000,20,3,22400,TGL0542,CNA0180,BRCH003,KOA0104,MENU004,KTG0207,PAY0711
TRX0923,43,3,32000,5,3.5,91200,TGL0542,CNA0181,BRCH002,KOA0103,MENU006,KTG0206,PAY0711
TRX0871,19,2,22000,0,1.6,44000,TGL0543,CNA0107,BRCH002,KOA0103,MENU003,KTG0205,PAY0712
TRX0147,54,4,25000,20,2.2,80000,TGL0543,CNA0183,BRCH003,KOA0104,MENU001,KTG0205,PAY0712
TRX0578,24,4,30000,15,1.9,102000,TGL0543,CNA0184,BRCH001,KOA0102,MENU002,KTG0206,PAY0709
TRX0503,22,4,27000,5,3.5,102600,TGL0543,CNA0185,BRCH004,KOA0105,MENU007,KTG0207,PAY0712
TRX0982,53,5,30000,0,3.6,150000,TGL0543,CNA0186,BRCH003,KOA0104,MENU002,KTG0206,PAY0711
TRX0557,49,1,22000,0,1.3,22000,TGL0544,CNA0187,BRCH001,KOA0102,MENU003,KTG0205,PAY0710
TRX0164,19,2,18000,10,4,32400,TGL0544,CNA0188,BRCH005,KOA0106,MENU009,KTG0206,PAY0711
TRX0160,48,3,18000,0,3.1,54000,TGL0545,CNA0127,BRCH001,KOA0102,MENU009,KTG0206,PAY0710
TRX0030,42,3,18000,0,2.3,54000,TGL0545,CNA0133,BRCH001,KOA0102,MENU010,KTG0205,PAY0712
TRX0978,41,3,18000,0,5,54000,TGL0545,CNA0191,BRCH001,KOA0102,MENU010,KTG0205,PAY0710
TRX0521,20,4,25000,10,2.6,90000,TGL0545,CNA0192,BRCH005,KOA0106,MENU001,KTG0205,PAY0710
TRX0963,20,3,30000,10,2.6,81000,TGL0546,CNA0153,BRCH003,KOA0104,MENU002,KTG0206,PAY0710
TRX0969,20,3,18000,0,3.5,54000,TGL0546,CNA0122,BRCH004,KOA0105,MENU010,KTG0205,PAY0710
TRX0601,42,4,22000,5,1.1,83600,TGL0547,CNA0195,BRCH005,KOA0106,MENU003,KTG0205,PAY0710
TRX0616,36,2,28000,20,4.4,44800,TGL0547,CNA0128,BRCH003,KOA0104,MENU004,KTG0207,PAY0709
TRX0406,53,4,28000,0,3.1,112000,TGL0548,CNA0138,BRCH005,KOA0106,MENU004,KTG0207,PAY0711
TRX0182,48,2,27000,0,2.9,54000,TGL0548,CNA0158,BRCH001,KOA0102,MENU007,KTG0207,PAY0712
TRX0189,24,1,23000,0,1.8,23000,TGL0548,CNA0199,BRCH004,KOA0105,MENU005,KTG0206,PAY0709
TRX0390,51,4,28000,0,4.4,112000,TGL0548,CNA0200,BRCH003,KOA0104,MENU004,KTG0207,PAY0710
TRX0576,23,2,20000,20,2.3,32000,TGL0549,CNA0201,BRCH002,KOA0103,MENU008,KTG0205,PAY0712
TRX0300,53,4,25000,0,3.5,100000,TGL0550,CNA0202,BRCH004,KOA0105,MENU001,KTG0205,PAY0712
TRX0918,22,4,18000,0,4.5,72000,TGL0551,CNA0203,BRCH003,KOA0104,MENU009,KTG0206,PAY0711
TRX0477,40,2,28000,0,1.9,56000,TGL0551,CNA0204,BRCH004,KOA0105,MENU004,KTG0207,PAY0710
TRX0931,17,2,30000,0,3.5,60000,TGL0551,CNA0205,BRCH001,KOA0102,MENU002,KTG0206,PAY0712
TRX0471,20,1,30000,15,2.2,25500,TGL0552,CNA0192,BRCH003,KOA0104,MENU002,KTG0206,PAY0711
TRX0655,50,4,23000,0,3.1,92000,TGL0553,CNA0207,BRCH005,KOA0106,MENU005,KTG0206,PAY0709
TRX0844,21,4,18000,5,1.1,68400,TGL0554,CNA0208,BRCH005,KOA0106,MENU009,KTG0206,PAY0709
TRX0555,23,2,30000,0,2,60000,TGL0554,CNA0201,BRCH001,KOA0102,MENU002,KTG0206,PAY0712
TRX0321,53,3,25000,0,3.5,75000,TGL0554,CNA0202,BRCH002,KOA0103,MENU001,KTG0205,PAY0712
TRX0213,49,1,27000,10,4.9,24300,TGL0554,CNA0211,BRCH005,KOA0106,MENU007,KTG0207,PAY0712
TRX0374,39,4,22000,0,3.4,88000,TGL0555,CNA0212,BRCH001,KOA0102,MENU003,KTG0205,PAY0710
TRX0512,37,3,32000,0,4.3,96000,TGL0556,CNA0168,BRCH005,KOA0106,MENU006,KTG0206,PAY0711
TRX0595,18,4,20000,0,3.6,80000,TGL0557,CNA0214,BRCH001,KOA0102,MENU008,KTG0205,PAY0711
TRX0346,52,2,22000,0,3.2,44000,TGL0558,CNA0215,BRCH002,KOA0103,MENU003,KTG0205,PAY0709
TRX0276,32,1,30000,5,3.1,28500,TGL0559,CNA0137,BRCH003,KOA0104,MENU002,KTG0206,PAY0710
TRX0900,25,5,25000,0,1.7,125000,TGL0559,CNA0217,BRCH002,KOA0103,MENU001,KTG0205,PAY0712
TRX0701,53,5,28000,0,4.8,140000,TGL0559,CNA0117,BRCH004,KOA0105,MENU004,KTG0207,PAY0710
TRX0530,23,3,28000,15,3.9,71400,TGL0559,CNA0219,BRCH005,KOA0106,MENU004,KTG0207,PAY0711
TRX0205,48,2,18000,5,2.5,34200,TGL0560,CNA0164,BRCH002,KOA0103,MENU010,KTG0205,PAY0710
TRX0312,45,2,18000,15,2.3,30600,TGL0560,CNA0131,BRCH004,KOA0105,MENU009,KTG0206,PAY0709
TRX0593,34,1,32000,0,4.2,32000,TGL0561,CNA0222,BRCH005,KOA0106,MENU006,KTG0206,PAY0710
TRX0621,18,4,27000,0,2.6,108000,TGL0561,CNA0223,BRCH005,KOA0106,MENU007,KTG0207,PAY0709
TRX0773,49,3,22000,10,2.7,59400,TGL0561,CNA0224,BRCH002,KOA0103,MENU003,KTG0205,PAY0712
TRX0500,25,5,23000,0,3.6,115000,TGL0561,CNA0225,BRCH004,KOA0105,MENU005,KTG0206,PAY0711
TRX0989,24,2,18000,5,1.5,34200,TGL0561,CNA0150,BRCH002,KOA0103,MENU009,KTG0206,PAY0710
TRX0412,17,1,30000,0,1.9,30000,TGL0562,CNA0227,BRCH005,KOA0106,MENU002,KTG0206,PAY0711
TRX0548,40,3,27000,0,3.5,81000,TGL0563,CNA0228,BRCH004,KOA0105,MENU007,KTG0207,PAY0712
TRX0497,22,5,28000,20,1.4,112000,TGL0564,CNA0118,BRCH004,KOA0105,MENU004,KTG0207,PAY0711
TRX0924,23,2,18000,10,1.3,32400,TGL0565,CNA0230,BRCH005,KOA0106,MENU010,KTG0205,PAY0709
TRX0499,39,4,32000,0,1.1,128000,TGL0566,CNA0212,BRCH002,KOA0103,MENU006,KTG0206,PAY0709
TRX0645,17,2,18000,10,1.5,32400,TGL0567,CNA0232,BRCH002,KOA0103,MENU009,KTG0206,PAY0709
TRX0209,18,1,20000,15,2.6,17000,TGL0567,CNA0233,BRCH002,KOA0103,MENU008,KTG0205,PAY0711
TRX0968,37,5,18000,0,4.4,90000,TGL0568,CNA0234,BRCH004,KOA0105,MENU009,KTG0206,PAY0711
TRX0988,44,1,27000,10,3.5,24300,TGL0569,CNA0235,BRCH004,KOA0105,MENU007,KTG0207,PAY0711
TRX0779,20,3,30000,0,1.9,90000,TGL0570,CNA0236,BRCH001,KOA0102,MENU002,KTG0206,PAY0709
TRX0444,19,2,23000,0,1.4,46000,TGL0571,CNA0188,BRCH005,KOA0106,MENU005,KTG0206,PAY0711
TRX0266,23,2,23000,0,4.7,46000,TGL0571,CNA0201,BRCH002,KOA0103,MENU005,KTG0206,PAY0711
TRX0727,23,4,32000,5,4.7,121600,TGL0571,CNA0239,BRCH005,KOA0106,MENU006,KTG0206,PAY0712
TRX0380,47,1,18000,0,4,18000,TGL0572,CNA0240,BRCH004,KOA0105,MENU009,KTG0206,PAY0710
TRX0144,22,2,20000,0,3.1,40000,TGL0573,CNA0118,BRCH001,KOA0102,MENU008,KTG0205,PAY0710
TRX0574,40,2,30000,15,3,51000,TGL0574,CNA0242,BRCH004,KOA0105,MENU002,KTG0206,PAY0711
TRX0215,43,5,28000,5,2.8,133000,TGL0575,CNA0140,BRCH005,KOA0106,MENU004,KTG0207,PAY0709
TRX0511,39,5,22000,15,4.4,93500,TGL0576,CNA0244,BRCH001,KOA0102,MENU003,KTG0205,PAY0712
TRX0565,40,2,30000,10,1.4,54000,TGL0576,CNA0245,BRCH003,KOA0104,MENU002,KTG0206,PAY0712
TRX0751,35,3,18000,10,3.1,48600,TGL0576,CNA0119,BRCH001,KOA0102,MENU010,KTG0205,PAY0712
TRX0840,19,1,20000,0,3.8,20000,TGL0576,CNA0247,BRCH002,KOA0103,MENU008,KTG0205,PAY0712
TRX0987,17,5,30000,0,4.6,150000,TGL0577,CNA0227,BRCH005,KOA0106,MENU002,KTG0206,PAY0710
TRX0192,43,1,28000,15,5,23800,TGL0577,CNA0171,BRCH003,KOA0104,MENU004,KTG0207,PAY0709
TRX0289,53,1,28000,0,2,28000,TGL0577,CNA0105,BRCH001,KOA0102,MENU004,KTG0207,PAY0709
TRX0816,22,1,20000,0,4.7,20000,TGL0578,CNA0112,BRCH004,KOA0105,MENU008,KTG0205,PAY0711
TRX0536,43,2,23000,10,1.5,41400,TGL0579,CNA0252,BRCH005,KOA0106,MENU005,KTG0206,PAY0711
TRX0103,53,5,25000,10,2.3,112500,TGL0580,CNA0186,BRCH004,KOA0105,MENU001,KTG0205,PAY0712
TRX0024,49,5,32000,0,3.1,160000,TGL0580,CNA0152,BRCH003,KOA0104,MENU006,KTG0206,PAY0711
TRX0095,30,1,20000,0,4.3,20000,TGL0580,CNA0255,BRCH004,KOA0105,MENU008,KTG0205,PAY0711
TRX0322,29,1,30000,0,4.1,30000,TGL0580,CNA0256,BRCH001,KOA0102,MENU002,KTG0206,PAY0710
TRX0044,53,5,30000,15,1.6,127500,TGL0580,CNA0148,BRCH002,KOA0103,MENU002,KTG0206,PAY0710
TRX0287,47,2,28000,10,1.4,50400,TGL0580,CNA0240,BRCH003,KOA0104,MENU004,KTG0207,PAY0709
TRX0483,25,2,32000,15,4,54400,TGL0580,CNA0176,BRCH002,KOA0103,MENU006,KTG0206,PAY0712
TRX0229,18,2,22000,0,2,44000,TGL0581,CNA0223,BRCH005,KOA0106,MENU003,KTG0205,PAY0710
TRX0532,49,2,22000,15,1.1,37400,TGL0582,CNA0211,BRCH004,KOA0105,MENU003,KTG0205,PAY0709
TRX0168,30,4,23000,10,1,82800,TGL0582,CNA0262,BRCH002,KOA0103,MENU005,KTG0206,PAY0709
TRX0124,36,1,18000,15,3.9,15300,TGL0583,CNA0263,BRCH002,KOA0103,MENU009,KTG0206,PAY0712
TRX0038,29,1,23000,0,3.7,23000,TGL0583,CNA0157,BRCH004,KOA0105,MENU005,KTG0206,PAY0711
TRX0796,42,1,30000,10,3.5,27000,TGL0583,CNA0265,BRCH002,KOA0103,MENU002,KTG0206,PAY0712
TRX0482,48,5,27000,0,2.1,135000,TGL0584,CNA0175,BRCH001,KOA0102,MENU007,KTG0207,PAY0710
TRX0546,48,5,20000,0,2.2,100000,TGL0585,CNA0166,BRCH002,KOA0103,MENU008,KTG0205,PAY0711
TRX0176,31,3,27000,15,3.1,68850,TGL0585,CNA0268,BRCH001,KOA0102,MENU007,KTG0207,PAY0712
TRX0868,34,3,18000,0,3.9,54000,TGL0585,CNA0269,BRCH005,KOA0106,MENU009,KTG0206,PAY0712
TRX0603,53,1,32000,15,3.7,27200,TGL0586,CNA0148,BRCH004,KOA0105,MENU006,KTG0206,PAY0711
TRX0657,48,1,23000,5,3.5,21850,TGL0587,CNA0271,BRCH004,KOA0105,MENU005,KTG0206,PAY0709
TRX0332,40,1,23000,0,1.4,23000,TGL0587,CNA0272,BRCH003,KOA0104,MENU005,KTG0206,PAY0711
TRX0659,46,4,18000,15,3.3,61200,TGL0588,CNA0115,BRCH003,KOA0104,MENU010,KTG0205,PAY0710
TRX0661,27,2,25000,15,4,42500,TGL0588,CNA0274,BRCH001,KOA0102,MENU001,KTG0205,PAY0712
TRX0562,37,5,22000,0,2.7,110000,TGL0588,CNA0168,BRCH003,KOA0104,MENU003,KTG0205,PAY0712
TRX0041,36,2,25000,0,4,50000,TGL0589,CNA0263,BRCH004,KOA0105,MENU001,KTG0205,PAY0711
TRX0957,52,5,27000,10,4.9,121500,TGL0590,CNA0277,BRCH003,KOA0104,MENU007,KTG0207,PAY0710
TRX0723,32,5,25000,15,2.4,106250,TGL0590,CNA0278,BRCH004,KOA0105,MENU001,KTG0205,PAY0712
TRX0958,48,3,27000,15,1,68850,TGL0591,CNA0158,BRCH001,KOA0102,MENU007,KTG0207,PAY0711
TRX0270,25,2,23000,0,4,46000,TGL0592,CNA0280,BRCH003,KOA0104,MENU005,KTG0206,PAY0712
TRX0105,22,1,27000,0,2.3,27000,TGL0593,CNA0118,BRCH001,KOA0102,MENU007,KTG0207,PAY0709
TRX0185,29,5,32000,0,2.2,160000,TGL0594,CNA0157,BRCH003,KOA0104,MENU006,KTG0206,PAY0712
TRX0894,48,2,22000,20,4,35200,TGL0594,CNA0127,BRCH001,KOA0102,MENU003,KTG0205,PAY0711
TRX0404,21,1,20000,15,1.1,17000,TGL0594,CNA0284,BRCH001,KOA0102,MENU008,KTG0205,PAY0712
TRX0704,48,1,18000,0,2.7,18000,TGL0595,CNA0158,BRCH002,KOA0103,MENU009,KTG0206,PAY0711
TRX0719,36,1,23000,10,4,20700,TGL0595,CNA0263,BRCH001,KOA0102,MENU005,KTG0206,PAY0710
TRX0518,31,1,32000,10,3.3,28800,TGL0595,CNA0287,BRCH002,KOA0103,MENU006,KTG0206,PAY0712
TRX0194,53,4,25000,0,1,100000,TGL0595,CNA0148,BRCH003,KOA0104,MENU001,KTG0205,PAY0710
TRX0825,42,1,20000,0,4.1,20000,TGL0595,CNA0289,BRCH003,KOA0104,MENU008,KTG0205,PAY0709
TRX0469,30,5,27000,0,4.3,135000,TGL0596,CNA0290,BRCH004,KOA0105,MENU007,KTG0207,PAY0712
TRX0991,39,1,32000,0,4.4,32000,TGL0597,CNA0291,BRCH001,KOA0102,MENU006,KTG0206,PAY0711
TRX0180,18,2,18000,5,2.3,34200,TGL0597,CNA0292,BRCH003,KOA0104,MENU010,KTG0205,PAY0710
TRX0031,43,3,30000,20,1.8,72000,TGL0597,CNA0252,BRCH004,KOA0105,MENU002,KTG0206,PAY0712
TRX0598,40,1,30000,0,1.9,30000,TGL0598,CNA0111,BRCH003,KOA0104,MENU002,KTG0206,PAY0709
TRX0441,42,4,27000,20,2.1,86400,TGL0599,CNA0295,BRCH002,KOA0103,MENU007,KTG0207,PAY0709
TRX0152,19,1,27000,0,2.7,27000,TGL0600,CNA0188,BRCH001,KOA0102,MENU007,KTG0207,PAY0709
TRX0560,28,1,27000,5,2.2,25650,TGL0601,CNA0297,BRCH002,KOA0103,MENU007,KTG0207,PAY0712
TRX0647,19,2,18000,0,2.4,36000,TGL0601,CNA0188,BRCH004,KOA0105,MENU009,KTG0206,PAY0709
TRX0384,38,3,30000,0,1.9,90000,TGL0601,CNA0299,BRCH003,KOA0104,MENU002,KTG0206,PAY0711
TRX0186,33,3,30000,0,3.5,90000,TGL0602,CNA0124,BRCH001,KOA0102,MENU002,KTG0206,PAY0709
TRX0867,29,3,27000,10,4.3,72900,TGL0602,CNA0301,BRCH003,KOA0104,MENU007,KTG0207,PAY0712
TRX0111,48,3,23000,15,4,58650,TGL0603,CNA0302,BRCH002,KOA0103,MENU005,KTG0206,PAY0712
TRX0838,44,2,28000,0,2.7,56000,TGL0604,CNA0303,BRCH002,KOA0103,MENU004,KTG0207,PAY0711
TRX0027,22,1,30000,0,1.4,30000,TGL0605,CNA0203,BRCH004,KOA0105,MENU002,KTG0206,PAY0712
TRX0373,34,5,25000,15,3.3,106250,TGL0606,CNA0222,BRCH005,KOA0106,MENU001,KTG0205,PAY0711
TRX0776,45,2,18000,5,1,34200,TGL0606,CNA0109,BRCH004,KOA0105,MENU009,KTG0206,PAY0709
TRX0549,49,5,23000,5,2.8,109250,TGL0607,CNA0152,BRCH001,KOA0102,MENU005,KTG0206,PAY0709
TRX0339,42,2,32000,5,4.6,60800,TGL0607,CNA0144,BRCH005,KOA0106,MENU006,KTG0206,PAY0710
TRX0866,37,4,23000,0,4.6,92000,TGL0607,CNA0146,BRCH004,KOA0105,MENU005,KTG0206,PAY0709
TRX0405,22,4,20000,0,2.3,80000,TGL0608,CNA0310,BRCH001,KOA0102,MENU008,KTG0205,PAY0710
TRX0849,46,4,27000,0,2,108000,TGL0608,CNA0115,BRCH005,KOA0106,MENU007,KTG0207,PAY0710
TRX0057,49,1,28000,10,3.1,25200,TGL0609,CNA0312,BRCH002,KOA0103,MENU004,KTG0207,PAY0710
TRX0691,25,5,18000,0,2.4,90000,TGL0610,CNA0280,BRCH001,KOA0102,MENU010,KTG0205,PAY0709
TRX0758,52,3,27000,5,3.2,76950,TGL0610,CNA0277,BRCH004,KOA0105,MENU007,KTG0207,PAY0711
TRX0890,51,2,32000,0,2.7,64000,TGL0610,CNA0315,BRCH003,KOA0104,MENU006,KTG0206,PAY0711
TRX0550,33,2,18000,10,1.2,32400,TGL0611,CNA0124,BRCH003,KOA0104,MENU009,KTG0206,PAY0712
TRX0731,31,4,18000,0,4.6,72000,TGL0612,CNA0317,BRCH003,KOA0104,MENU009,KTG0206,PAY0711
TRX0724,27,3,22000,0,4.3,66000,TGL0613,CNA0318,BRCH005,KOA0106,MENU003,KTG0205,PAY0710
TRX0857,31,1,22000,0,3,22000,TGL0614,CNA0319,BRCH002,KOA0103,MENU003,KTG0205,PAY0711
TRX0936,48,4,22000,0,2.8,88000,TGL0614,CNA0158,BRCH001,KOA0102,MENU003,KTG0205,PAY0712
TRX0143,51,4,28000,20,2.1,89600,TGL0615,CNA0139,BRCH003,KOA0104,MENU004,KTG0207,PAY0709
